기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,마포구,망원2동,"1,348",540,"4,505","2,412","2,093","1,112","2,343",168,"1,576",21,329,47,257
2019,마포구,연남동,"1,915",735,"6,911","3,739","3,172","1,526","3,448",328,"2,940",29,395,32,128
2019,마포구,성산1동,"1,534",473,"11,155","7,827","3,328","1,017","2,367",400,"7,770",64,789,53,229
2019,마포구,성산2동,"1,757",649,"11,682","5,743","5,939","1,377","3,040",261,"5,213",46,"2,823",73,606
2019,마포구,상암동,"2,531",874,"41,880","24,473","17,407","1,536","3,931",811,"32,651",114,"4,635",70,663
2019,마포구,도화동,"2,082",697,"16,774","9,047","7,727","1,270","3,439",684,"11,857",66,"1,017",62,461
2019,마포구,서강동,"1,828",653,"12,774","6,858","5,916","1,378","3,425",352,"6,599",55,"2,514",43,236
2019,마포구,공덕동,"2,756",981,"18,197","9,899","8,298","2,038","5,166",542,"10,597",104,"1,885",72,549
2019,마포구,아현동,"1,619",598,"10,936","5,871","5,065","1,060","2,637",453,"6,537",65,"1,516",41,246
2019,양천구,소계,"25,894","9,745","121,582","63,099","58,483","21,492","51,985","2,940","40,682",495,"21,999",967,"6,916"
2019,양천구,목1동,"2,872","1,196","21,666","10,760","10,906","1,946","6,902",805,"12,125",72,"2,027",49,612
2019,양천구,목2동,"1,196",476,"4,523","2,369","2,154","1,016","2,451",115,"1,354",17,467,48,251
2019,양천구,목3동,"1,282",566,"4,740","2,198","2,542","1,121","2,671",108,"1,554",15,249,38,266
2019,양천구,목4동,"1,347",597,"3,945","1,819","2,126","1,172","2,459",93,807,14,297,68,382
2019,양천구,신월1동,"1,765",674,"5,183","2,828","2,355","1,576","3,290",105,"1,342",17,214,67,337
2019,양천구,신월2동,"1,175",379,"3,943","2,104","1,839",995,"2,123",102,998,17,402,61,420
2019,양천구,신월3동,958,297,"4,019","2,356","1,663",799,"1,629",102,"1,444",24,723,33,223
2019,양천구,신월4동,"1,166",388,"4,255","2,441","1,814","1,025","2,197",72,"1,298",11,253,58,507
2019,양천구,신월5동,994,353,"4,849","2,881","1,968",867,"2,178",71,"1,609",18,957,38,105
2019,양천구,신월6동,"1,336",178,"3,129","2,218",911,"1,251","1,840",56,"1,009",10,209,19,71
2019,양천구,신월7동,"1,324",453,"5,406","3,493","1,913","1,136","2,202",94,"1,490",16,"1,310",78,404
